Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,049","1,359","1,797","2,000","2,136","2,165"
Expenses+,773,"1,026","1,376","1,491","1,626","1,675"
Operating Profit,277,334,421,509,510,490
OPM %,26%,25%,23%,25%,24%,23%
Other Income+,10,16,17,25,45,56
Interest,2,3,2,3,1,1
Depreciation,49,48,50,57,62,67
Profit before tax,236,299,385,475,491,479
Tax %,30%,27%,26%,25%,26%,
Net Profit+,166,220,285,356,365,356
EPS in Rs,"151,200.00","204,000.00",13.65,15.60,15.34,14.91
Dividend Payout %,0%,0%,0%,10%,10%,
