Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,444,458,387,577,789,999,"1,252","1,325"
Expenses+,407,402,344,505,668,841,"1,055","1,135"
Operating Profit,36,56,43,72,120,158,197,190
OPM %,8%,12%,11%,12%,15%,16%,16%,14%
Other Income+,2,2,17,13,15,24,24,24
Interest,11,24,20,21,20,22,27,21
Depreciation,5,33,33,32,35,49,63,68
Profit before tax,22,2,7,32,81,111,130,126
Tax %,39%,168%,29%,26%,25%,25%,26%,
Net Profit+,13,-1,5,23,60,83,96,93
EPS in Rs,7.23,-0.67,2.39,11.19,23.65,31.08,35.93,34.53
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
