Metric,Mar 2011,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,8.98,17.36,24.87,27.88,23.64,22.98,28.83,33.41,37.21,43.22,39.22
Expenses+,8.15,16.22,22.90,25.53,24.39,21.28,26.28,31.41,34.71,40.96,40.55
Operating Profit,0.83,1.14,1.97,2.35,-0.75,1.70,2.55,2.00,2.50,2.26,-1.33
OPM %,9.24%,6.57%,7.92%,8.43%,-3.17%,7.40%,8.84%,5.99%,6.72%,5.23%,-3.39%
Other Income+,0.01,0.02,0.03,0.17,0.10,0.10,1.26,0.57,0.10,0.64,0.68
Interest,0.33,0.46,0.79,1.12,1.27,0.79,0.95,0.81,0.85,0.96,0.90
Depreciation,0.30,0.41,0.50,0.74,0.88,0.87,0.88,0.88,1.00,1.07,1.11
Profit before tax,0.21,0.29,0.71,0.66,-2.80,0.14,1.98,0.88,0.75,0.87,-2.66
Tax %,42.86%,72.41%,35.21%,21.21%,-24.64%,-85.71%,47.47%,-88.64%,41.33%,28.74%,
Net Profit+,0.11,0.09,0.46,0.52,-2.12,0.25,1.03,1.66,0.44,0.61,-3.11
EPS in Rs,2.20,1.80,0.06,0.05,-0.20,0.02,0.10,0.16,0.03,0.05,-0.23
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
