Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,801,"1,031","1,443","1,500","1,377","1,378","1,549","2,234","2,595","2,802"
Interest,436,536,646,589,638,631,617,901,"1,049","1,173"
Expenses+,322,365,471,685,737,700,911,733,"1,290","1,455"
Financing Profit,44,130,326,225,2,47,22,600,256,173
Financing Margin %,5%,13%,23%,15%,0%,3%,1%,27%,10%,6%
Other Income+,0,0,3,4,3,3,2,6,7,15
Depreciation,6,15,13,18,15,16,18,23,27,28
Profit before tax,38,116,316,212,-10,34,5,583,236,160
Tax %,34%,35%,36%,27%,43%,39%,8%,25%,21%,
Net Profit+,25,75,201,155,-14,21,5,436,186,134
EPS in Rs,4.78,11.43,29.72,21.52,-1.94,2.76,0.58,39.46,16.85,12.16
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
