Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,222","1,276","1,320","1,473","1,811","2,591","2,502","2,031","2,190","2,237","2,107","2,081","2,166"
Expenses+,"1,161","1,219","1,241","1,410","1,745","2,469","2,352","1,936","2,014","2,063","1,943","1,915","2,007"
Operating Profit,61,57,79,63,66,122,150,95,176,173,164,166,159
OPM %,5%,4%,6%,4%,4%,5%,6%,5%,8%,8%,8%,8%,7%
Other Income+,1,17,4,18,34,2,16,16,30,4,10,8,-2
Interest,12,12,11,13,14,25,30,25,35,51,59,58,51
Depreciation,12,17,15,14,11,18,31,31,35,32,30,30,31
Profit before tax,38,46,57,54,74,81,106,55,136,94,85,85,75
Tax %,23%,13%,17%,21%,14%,4%,17%,23%,22%,7%,14%,14%,
Net Profit+,29,40,47,43,64,77,88,42,106,87,74,74,65
EPS in Rs,3.09,4.21,4.97,4.41,6.68,8.13,9.32,4.50,11.21,9.22,7.53,7.10,6.36
Dividend Payout %,6%,5%,8%,0%,0%,0%,0%,20%,15%,0%,0%,0%,
