Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,242,82,901,"1,554","1,241","2,498","2,552"
Expenses+,278,163,986,"1,547","1,268","2,454","2,536"
Operating Profit,-37,-81,-84,6,-28,44,16
OPM %,-15%,-99%,-9%,0%,-2%,2%,1%
Other Income+,22,67,38,32,84,140,151
Interest,55,71,70,73,30,52,53
Depreciation,5,12,21,22,22,27,31
Profit before tax,-74,-97,-136,-57,4,105,83
Tax %,-24%,-11%,-15%,12%,-265%,4%,
Net Profit+,-57,-86,-116,-64,16,101,78
EPS in Rs,-101.43,-151.23,-10.23,-5.12,1.15,7.19,5.54
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,
