,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,352,401,457,680,510,215,242,297,342,230,242,294,183
Expenses +,285,307,328,556,401,151,139,247,258,203,181,187,142
Operating Profit,67,94,129,124,109,64,103,50,84,28,61,106,41
OPM %,19%,23%,28%,18%,21%,30%,42%,17%,24%,12%,25%,36%,22%
Other Income +,8,14,16,15,16,28,31,42,36,41,33,37,45
Interest,15,15,15,14,9,6,7,12,4,3,3,5,3
Depreciation,2,3,3,3,2,2,3,3,2,2,2,2,2
Profit before tax,58,90,127,122,114,83,123,77,113,63,89,136,80
Tax %,25%,30%,28%,25%,23%,21%,30%,16%,25%,25%,5%,28%,27%
Net Profit +,44,63,91,92,87,65,87,65,84,47,84,97,58
EPS in Rs,1.05,1.44,2.28,2.20,2.22,1.88,2.24,1.76,2.09,1.20,2.23,2.05,1.44
Raw PDF,,,,,,,,,,,,,
